sDev,Kurtosis,Skewness,Label
0.117908874,0.852885241,4.155093524,Clean
0.16036573,0.614290748,-4.694873882,Clean
0.460401407,0.785357156,0.318349344,Clean
0.155993107,0.809950128,0.777990526,Clean
0.125414037,0.650736754,1.407108871,Clean
0.408654842,0.650170564,-2.934711183,Clean
0.85,0.661576322,2.119922878,Clean
0.157785075,0.84970164,2.085762805,Clean
0.184437183,0.703241994,-1.915506403,Clean
0.163619628,0.600584585,-0.607991999,Clean
0.452294594,0.61942117,0.71302469,Clean
0.252619534,0.798535839,0.509584086,Clean
0.85,0.63917078,-5.596259263,Clean
0.489836719,0.750201232,0.326263157,Clean
0.316280429,0.666493336,-4.887092761,Clean
0.808351624,0.746517359,-0.529030731,Clean
0.217391442,0.612796328,-1.66120123,Clean
0.377818148,0.677507788,-0.383806529,Clean
0.217552158,0.697268333,1.763052683,Clean
0.389525256,0.667905057,-1.489768938,Clean
0.365962404,0.71140778,-1.717746839,Clean
0.17422273,0.644790516,1.593503762,Clean
-0.104455345,0.822898381,-2.422993572,Clean
0.297427042,0.51018922,-1.255760359,Clean
0.359523241,0.280078633,-4.849282974,Clean
0.189184946,0.84259013,-2.790264633,Clean
0.389113216,0.851482701,-3.335317966,Clean
0.238199912,0.710326716,-0.440082302,Clean
0.274804884,0.783347829,0.278450923,Clean
0.220389428,0.528614611,-0.966851957,Clean
0.221502422,0.672418465,-6.257963989,Clean
0.263512102,0.494323307,-3.393177906,Clean
0.257501225,0.833897071,0.95110666,Clean
0.20352914,0.564776393,-1.765128492,Clean
0.309969983,0.460807895,-5.615910049,Clean
0.85,0.474164689,-1.976965673,Clean
0.479447356,0.627607498,0.001653713,Clean
0.177195533,0.783576577,-0.151817029,Clean
0.224567179,0.705015402,0.336263208,Clean
0.85,0.627176285,-2.819647947,Clean
0.156184388,0.662737141,-4.796372574,Clean
0.395024771,0.874350674,-2.516604751,Clean
0.249102337,0.73137914,1.648597769,Clean
0.315976505,0.621410662,-5.021755844,Clean
0.184537497,0.655589952,-2.837902249,Clean
0.196922614,0.773620903,0.87337873,Clean
0.182600695,0.767179774,2.273361349,Clean
0.172116027,0.849446671,0.326085265,Clean
0.294513286,0.650914076,-0.750617954,Clean
0.303757842,0.767854289,1.057277378,Clean
0.339248382,0.666722492,0.429555033,Clean
0.361986938,0.522129924,-2.113821276,Clean
0.462300439,0.734318664,1.632125576,Clean
0.360794853,0.661660651,-2.454012012,Clean
0.251100922,0.766909059,0.497720123,Clean
0.328065211,0.49832502,0.335613711,Clean
0.132182075,0.757746857,1.033031582,Clean
0.219598541,0.628998692,0.647425737,Clean
-0.162469939,0.518880177,-8.392877148,Clean
0.14587912,0.812016737,1.438742105,Clean
0.638053415,0.756476523,-1.560285683,Clean
0.188269474,0.598863968,0.251313639,Clean
0.193197215,0.494181166,-3.683717007,Clean
0.85,0.73143962,1.665447883,Clean
0.189638768,0.618105112,0.331245158,Clean
0.293124716,0.762694062,-1.49408563,Clean
0.178849909,0.706567609,1.352399329,Clean
0.113179452,0.796084062,0.889335191,Clean
0.099779291,0.714276685,2.092500967,Clean
0.321669334,0.728667219,0.527795709,Clean
0.374614225,0.548292546,-0.054453681,Clean
0.273876172,0.68561382,-4.61377738,Clean
0.434241068,0.749295445,1.297546986,Clean
0.178749516,0.722516054,-0.355229667,Clean
0.235451154,0.784647136,0.114535515,Clean
0.565838024,0.691735845,1.48675992,Clean
0.126802928,0.712787534,-4.867668988,Clean
0.153299883,0.757859763,-0.119742885,Clean
0.200790052,0.639041136,-1.403051282,Clean
0.27908983,0.688556013,-4.712861235,Clean
0.150224706,0.754897795,-0.97981137,Clean
0.303817708,0.58933287,-2.589707533,Clean
0.34100523,0.496087662,-3.522648822,Clean
0.778164665,0.69963469,-1.667610097,Clean
0.81177979,0.763479717,-1.567542167,Clean
0.181102738,0.563245348,-1.787398717,Clean
0.149035427,0.816768286,0.01597757,Clean
0.187725023,0.684157383,0.196796108,Clean
0.668063244,0.686950825,1.401665768,Clean
0.193924892,0.615983292,-1.551832381,Clean
0.452056342,0.440676418,0.020438362,Clean
0.159471367,0.723275596,1.986652539,Clean
0.236789651,0.801064618,0.934328796,Clean
0.188196903,0.694016684,0.599335687,Clean
0.646565344,0.719143347,1.855273514,Clean
0.209224205,0.678789684,2.033804062,Clean
0.35289778,0.633945273,-3.141753709,Clean
0.15194255,0.514836743,-3.093503232,Clean
0.110929327,0.788504547,0.797582854,Clean
0.235716251,0.710967133,1.043670041,Clean
0.232469443,0.709315008,1.344492168,Clean
0.241849204,0.504732788,-2.94231762,Clean
0.274796162,0.64695635,-7.489788467,Clean
0.286674919,0.739083306,1.154380791,Clean
0.322590227,0.87055459,0.350046719,Clean
0.290966866,0.654486937,1.313242579,Clean
0.108791123,0.675303559,0.82755537,Clean
0.17319876,0.798499976,0.852598516,Clean
0.310202294,0.663021773,-1.431649239,Clean
0.85,0.769411304,1.099404601,Clean
0.134157838,0.69160063,1.340079942,Clean
0.25233705,0.624438533,-3.151311523,Clean
0.19503474,0.678543112,0.911961745,Clean
0.152074511,0.406706646,0.093381862,Clean
0.252267994,0.770614233,-1.595562619,Clean
0.632968988,0.599912637,-0.5732927,Clean
-0.177736534,0.654264022,-4.153758099,Clean
0.164494871,0.751040722,1.446975929,Clean
0.221612686,0.645356758,-3.324532096,Clean
0.131645265,0.771549462,-1.400868311,Clean
0.172648659,0.820585547,-3.957506888,Clean
0.195044927,0.682430827,-3.503504076,Clean
0.454444201,0.682451206,1.756883906,Clean
